sku,source_row_number,reasons,source_name,operational_name,source_description,operational_description,source_length_mm,source_width_mm,source_height_mm,source_outer_l_mm,source_outer_w_mm,source_outer_h_mm,operational_length_m,operational_width_m,operational_height_m,source_weight_kg,operational_weight_kg,source_cubic_m3,operational_cubic_m3,source_pallet,source_derived_cp,operational_cp,possible_unit_scale_warning,draft_name,draft_description,draft_dimensions,draft_weight,draft_cubic,draft_freight_type,previously_resolved_detected,identical_source_detected,bulk_safety_status,bulk_safety_issues,related_draft_memory_payloads_json
MICRO3000,30254,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Micro 3000 Jacking Beams,Micro 3000 Jacking Beams,Micro 3000 Jacking Beams,Micro 3000 Jacking Beams,0.000000,0.000000,0.000000,1200.0,770.0,450.0,1.2000,0.7700,0.4500,180.000000,540.0000,0.415700,1.247000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MICRO3000-B,30255,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | CUBIC_DIFFERENT,Micro 3000 Jacking Beams,Micro 3000 Jacking Beams,Micro 3000 Jacking Beams,Micro 3000 Jacking Beams,0.000000,0.000000,0.000000,1040.0,740.0,440.0,1.0400,0.7400,0.4400,213.000000,213.0000,0.340000,0.339000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MICRO3000-B R5,30256,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Micro3000-B Jacking BeamsR5005,Micro3000-B Jacking BeamsR5005,Micro 3000-B Jacking Beams RAL 5005,Micro 3000-B Jacking Beams RAL 5005,0.000000,0.000000,0.000000,1050.0,770.0,450.0,1.0500,0.7700,0.4500,180.000000,540.0000,0.364000,1.092000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MICRO3000RAL2002,30258,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Micro 3000 Jacking Beams 2002,Micro 3000 Jacking Beams 2002,Micro 3000 Jacking Beams RAL2002,Micro 3000 Jacking Beams RAL2002,0.000000,0.000000,0.000000,1200.0,750.0,400.0,1.2000,0.7500,0.4000,180.000000,540.0000,0.360000,1.080000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MICRO3000RAL5002,30259,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Micro 3000 Jacking Beams 5002,Micro 3000 Jacking Beams 5002,Micro 3000 Jacking Beams RAL5002,Micro 3000 Jacking Beams RAL5002,0.000000,0.000000,0.000000,1200.0,750.0,400.0,1.2000,0.7500,0.4000,180.000000,540.0000,0.360000,1.080000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MICRO3000RAL5015,30260,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Micro 3000 Jacking Beams Blue,Micro 3000 Jacking Beams Blue,Micro 3000 Jacking Beams Kmart Blue,Micro 3000 Jacking Beams Kmart Blue,0.000000,0.000000,0.000000,1200.0,750.0,400.0,1.2000,0.7500,0.4000,180.000000,540.0000,0.360000,1.080000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MICRO3000RAL7016,30261,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Micro 3000 Jacking Beams Grey,Micro 3000 Jacking Beams Grey,Micro 3000 Jacking Beams Grey,Micro 3000 Jacking Beams Grey,0.000000,0.000000,0.000000,1200.0,750.0,400.0,1.2000,0.7500,0.4000,180.000000,540.0000,0.360000,1.080000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MICRO3000RAL9005,30262,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Micro 3000 Jacking Beams Black,Micro 3000 Jacking Beams Black,Micro 3000 Jacking Beams Black,Micro 3000 Jacking Beams Black,0.000000,0.000000,0.000000,1200.0,770.0,450.0,1.2000,0.7700,0.4500,180.000000,540.0000,0.416000,1.248000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MICRO40,30263,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Micro 40 Jacking Beam,Micro 40 Jacking Beam,Micro 40 Jacking Beam,Micro 40 Jacking Beam,0.000000,0.000000,0.000000,910.0,580.0,670.0,0.9100,0.5800,0.6700,199.000000,597.0000,0.354000,1.062000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MICRO40LH,30264,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Micro 40 LH,Micro 40 LH,Micro 40 LH,Micro 40 LH,0.000000,0.000000,0.000000,910.0,580.0,670.0,0.9100,0.5800,0.6700,199.000000,597.0000,0.354000,1.062000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
